,Loc,Value,ISO-3
0,Chine,684,CHN
1,Belgique,77,BEL
2,Libye,164,LBY
3,Syrie,706,SYR
4,Russie,1146,RUS
5,Yémen,45,YEM
6,Iran,414,IRN
7,Suisse,100,CHE
8,Pologne,66,POL
9,Turquie,319,TUR
10,Ukraine,275,UKR
11,Irak,123,IRQ
12,Nigeria,8,NGA
13,Qatar,58,QAT
14,Japon,36,JPN
15,Inde,65,IND
16,Espagne,60,ESP
17,Chili,8,CHL
18,Équateur,5,ECU
19,Algérie,232,DZA
20,Italie,163,ITA
21,Venezuela,125,VEN
22,Mali,141,MLI
23,Burkina Faso,32,BFA
24,Bénin,2,BEN
25,Palestine,90,PSE
26,Arménie,52,ARM
27,Vénézuéla,13,VEN
28,Panama,55,PAN
29,Suède,80,SWE
30,Cuba,36,CUB
31,Brésil,50,BRA
32,Bolivie,2,BOL
33,Argentine,31,ARG
34,Colombie,15,COL
35,Costa Rica,4,CRI
36,Canada,33,CAN
37,Australie,84,AUS
38,Liban,184,LBN
39,Chypre,27,CYP
40,Lettonie,5,LVA
41,Estonie,8,EST
42,Kosovo,41,XKX
43,Serbie,12,SRB
44,Jordanie,17,JOR
45,Gabon,11,GAB
46,Niger,39,NER
47,Soudan,36,SDN
48,Grèce,68,GRC
49,Norvège,13,NOR
50,Afghanistan,152,AFG
51,Roumanie,21,ROU
52,Tchad,29,TCD
53,Djibouti,3,DJI
54,Ghana,2,GHA
55,Vatican,18,VAT
56,Congo,17,COG
57,Sri Lanka,5,LKA
58,Mexique,17,MEX
59,Vénézuela,2,VEN
60,Centrafrique,7,CAF
61,Tunisie,31,TUN
62,Maroc,95,MAR
63,Hongrie,41,HUN
64,Guyana,14,GUY
65,Suriname,3,SUR
66,Égypte,44,EGY
67,Albanie,14,ALB
68,Sénégal,21,SEN
69,Vietnam,5,VNM
70,Philippines,4,PHL
71,Slovaquie,13,SVK
72,République tchèque,10,CZE
73,Bulgarie,5,BGR
74,Émirats arabes unis,17,ARE
75,Pakistan,18,PAK
76,Corée du Sud,14,KOR
77,Cambodge,8,KHM
78,Madagascar,10,MDG
79,Zimbabwe,3,ZWE
80,Danemark,13,DNK
81,Éthiopie,9,ETH
82,Cameroun,3,CMR
83,Malte,6,MLT
84,Corée du Nord,7,PRK
