,Loc,Value,ISO-3
0,Libye,708,LBY
1,Tunisie,369,TUN
2,Maroc,684,MAR
3,États-Unis,5945,USA
4,Russie,3766,RUS
5,Djibouti,283,DJI
6,Italie,160,ITA
7,Sénégal,607,SEN
8,Iran,5670,IRN
9,Irak,799,IRQ
10,Royaume-Uni,319,GBR
11,Niger,1002,NER
12,Burundi,285,BDI
13,Suède,46,SWE
14,Chine,1871,CHN
15,Yémen,456,YEM
16,Somalie,209,SOM
17,Belgique,62,BEL
18,Cameroun,976,CMR
19,Comores,38,COM
20,Guinée,240,GIN
21,Tchad,567,TCD
22,Finlande,17,FIN
23,Gabon,287,GAB
24,Mali,3807,MLI
25,Pologne,186,POL
26,Danemark,70,DNK
27,Israël,3039,ISR
28,Éthiopie,1118,ETH
29,Nigéria,93,NGA
30,Turquie,1085,TUR
31,Syrie,2186,SYR
32,Nigeria,239,NGA
33,Burkina Faso,839,BFA
34,Inde,167,IND
35,Centrafrique,778,CAF
36,Qatar,61,QAT
37,Australie,201,AUS
38,Gambie,28,GMB
39,Taïwan,80,TWN
40,Koweït,13,KWT
41,Mozambique,420,MOZ
42,Grèce,175,GRC
43,Liban,1091,LBN
44,Chypre,65,CYP
45,Ukraine,394,UKR
46,Ghana,179,GHA
47,Algérie,1335,DZA
48,Rwanda,74,RWA
49,Bénin,280,BEN
50,Pakistan,48,PAK
51,Égypte,291,EGY
52,Guinée-Bissau,17,GNB
53,Etats-Unis,167,USA
54,Soudan,506,SDN
55,Vatican,3,VAT
56,Bahreïn,29,BHR
57,Albanie,8,ALB
58,Afghanistan,413,AFG
59,Madagascar,93,MDG
60,Bulgarie,19,BGR
61,Estonie,11,EST
62,Ouganda,100,UGA
63,Venezuela,299,VEN
64,Zimbabwe,66,ZWE
65,Suisse,86,CHE
66,Oman,9,OMN
67,Cuba,59,CUB
68,Vietnam,21,VNM
69,Bolivie,16,BOL
70,Brésil,38,BRA
71,Mauritanie,97,MRT
72,Palestine,122,PSE
73,Érythrée,108,ERI
74,Norvège,60,NOR
75,Pays-Bas,30,NLD
76,Vénézuéla,6,VEN
77,Singapour,7,SGP
78,Kenya,149,KEN
79,chine,4,CHN
80,Turkménistan,9,TKM
81,Serbie,23,SRB
82,Ethiopie,4,ETH
83,Japon,86,JPN
84,Luxembourg,6,LUX
85,Congo,37,COG
86,Angola,19,AGO
87,Espagne,41,ESP
88,Géorgie,42,GEO
89,Nouvelle-Zélande,15,NZL
90,Malaisie,2,MYS
91,Canada,88,CAN
92,Philippines,16,PHL
93,Togo,37,TGO
94,Bosnie-Herzégovine,3,BIH
95,Roumanie,14,ROU
96,Croatie,12,HRV
97,Hongrie,32,HUN
98,Jordanie,44,JOR
99,Portugal,36,PRT
100,Colombie,8,COL
101,Nicaragua,7,NIC
102,Tanzanie,52,TZA
103,Thaïlande,3,THA
104,Egypte,34,EGY
105,Zambie,21,ZMB
106,Uruguay,4,URY
107,Mexique,19,MEX
