,Loc,Value,ISO-3
0,Tunisie,148,TUN
1,Kosovo,22,XKX
2,Chine,101,CHN
3,Inde,30,IND
4,Libye,109,LBY
5,Italie,248,ITA
6,Guinée,57,GIN
7,Algérie,598,DZA
8,Nigéria,4,NGA
9,Syrie,317,SYR
10,Slovénie,13,SVN
11,Russie,91,RUS
12,Maroc,274,MAR
13,Bulgarie,9,BGR
14,Malte,28,MLT
15,Salvador,2,SLV
16,Irak,110,IRQ
17,Afghanistan,511,AFG
18,Géorgie,14,GEO
19,Soudan,45,SDN
20,Brésil,31,BRA
21,Belgique,125,BEL
22,Yémen,12,YEM
23,Royaume-Uni,138,GBR
24,Turquie,209,TUR
25,Roumanie,45,ROU
26,Sénégal,88,SEN
27,États-Unis,187,USA
28,Monténégro,2,MNE
29,Iran,42,IRN
30,Mali,203,MLI
31,Niger,35,NER
32,Espagne,116,ESP
33,Nigeria,30,NGA
34,Venezuela,11,VEN
35,Suisse,63,CHE
36,Bénin,16,BEN
37,Mexique,13,MEX
38,Rwanda,42,RWA
39,Grèce,64,GRC
40,Hongrie,44,HUN
41,Pays-Bas,46,NLD
42,Danemark,26,DNK
43,Albanie,10,ALB
44,Jordanie,9,JOR
45,Suriname,2,SUR
46,Israël,72,ISR
47,Pakistan,77,PAK
48,Burkina Faso,18,BFA
49,Mauritanie,9,MRT
50,Érythrée,14,ERI
51,Qatar,28,QAT
52,Japon,25,JPN
53,Liban,7,LBN
54,Irlande,20,IRL
55,Brunei,2,BRN
56,Nouvelle-Zélande,27,NZL
57,Koweit,3,KWT
58,Kenya,9,KEN
59,Autriche,66,AUT
60,Madagascar,5,MDG
61,Haïti,35,HTI
62,Etats-Unis,58,USA
63,Togo,2,TGO
64,Comores,21,COM
65,Australie,28,AUS
66,Gabon,4,GAB
67,Norvège,4,NOR
68,Canada,27,CAN
69,Panama,2,PAN
70,Ukraine,17,UKR
71,Bolivie,8,BOL
72,Égypte,16,EGY
73,Centrafrique,6,CAF
74,Chypre,7,CYP
75,Portugal,41,PRT
76,#Italie,5,ITA
77,Somalie,23,SOM
78,Vatican,4,VAT
79,Arménie,15,ARM
80,Indonésie,3,IDN
81,Cuba,2,CUB
82,Luxembourg,10,LUX
83,Angola,4,AGO
84,Colombie,14,COL
85,Cambodge,2,KHM
86,Malaisie,5,MYS
87,Chili,2,CHL
