,Loc,Value,ISO-3
0,Russie,6462,RUS
1,Turquie,2428,TUR
2,Tunisie,927,TUN
3,Italie,1067,ITA
4,Israël,982,ISR
5,Algérie,3467,DZA
6,Mali,1796,MLI
7,Niger,402,NER
8,États-Unis,5934,USA
9,Espagne,461,ESP
10,Maroc,2072,MAR
11,Syrie,1731,SYR
12,Irak,549,IRQ
13,Chine,2834,CHN
14,Royaume-Uni,1074,GBR
15,Cameroun,740,CMR
16,Portugal,111,PRT
17,Liban,1039,LBN
18,Azerbaïdjan,457,AZE
19,Iran,2220,IRN
20,Koweït,26,KWT
21,Jordanie,46,JOR
22,Qatar,259,QAT
23,Canada,610,CAN
24,Arménie,330,ARM
25,Grèce,476,GRC
26,Burkina Faso,364,BFA
27,Mexique,133,MEX
28,Ukraine,870,UKR
29,Belgique,406,BEL
30,Équateur,43,ECU
31,Cuba,124,CUB
32,Géorgie,26,GEO
33,Libye,1522,LBY
34,Inde,588,IND
35,Chypre,78,CYP
36,Japon,233,JPN
37,Pakistan,119,PAK
38,Bangladesh,19,BGD
39,Somalie,29,SOM
40,Kenya,45,KEN
41,Tadjikistan,24,TJK
42,Guinée,167,GIN
43,Gabon,64,GAB
44,Palestine,72,PSE
45,Bénin,128,BEN
46,Soudan,147,SDN
47,Etats-Unis,107,USA
48,Sénégal,525,SEN
49,Égypte,364,EGY
50,Mozambique,13,MOZ
51,Australie,551,AUS
52,Gambie,24,GMB
53,Colombie,59,COL
54,Andorre,25,AND
55,Afghanistan,943,AFG
56,Suède,117,SWE
57,Vanuatu,6,VUT
58,Norvège,61,NOR
59,Monténégro,22,MNE
60,Rwanda,288,RWA
61,Congo,81,COG
62,Ouganda,56,UGA
63,Mongolie,4,MNG
64,Brunei,4,BRN
65,Pays-Bas,181,NLD
66,Centrafrique,203,CAF
67,Estonie,26,EST
68,Bulgarie,56,BGR
69,Lituanie,34,LTU
70,Yémen,211,YEM
71,Togo,189,TGO
72,Pologne,344,POL
73,Monaco,11,MCO
74,Maroc11,2,MAR
75,Suisse,208,CHE
76,Éthiopie,54,ETH
77,Nigeria,123,NGA
78,Ghana,45,GHA
79,Zambie,9,ZMB
80,Madagascar,63,MDG
81,Niué,4,NIU
82,Autriche,117,AUT
83,Danemark,111,DNK
84,Islande,18,ISL
85,Kazakhstan,21,KAZ
86,Singapour,26,SGP
87,Luxembourg,37,LUX
88,Mauritanie,120,MRT
89,Vietnam,55,VNM
90,Brésil,284,BRA
91,Hongrie,109,HUN
92,Djibouti,13,DJI
93,Taïwan,72,TWN
94,Tchad,356,TCD
95,Comores,10,COM
96,Tonga,2,TON
97,Turkménistan,8,TKM
98,Tuvalu,2,TUV
99,Vatican,33,VAT
100,Thaïlande,26,THA
101,Angola,29,AGO
102,Burundi,87,BDI
103,Nouvelle-Zélande,58,NZL
104,Croatie,70,HRV
105,Indonésie,47,IDN
106,Lettonie,28,LVA
107,Roumanie,54,ROU
108,Venezuela,808,VEN
109,Vénézuéla,10,VEN
110,Haïti,106,HTI
111,Slovénie,13,SVN
112,Malte,17,MLT
113,Egypte,15,EGY
114,Philippines,19,PHL
115,Irlande,31,IRL
116,Bahreïn,46,BHR
117,Pérou,24,PER
118,Bolivie,37,BOL
119,Argentine,53,ARG
120,Finlande,46,FIN
121,Guatemala,8,GTM
122,Nicaragua,4,NIC
123,Serbie,95,SRB
124,Kosovo,195,XKX
125,Slovaquie,37,SVK
126,Maurice,4,MUS
127,Liechtenstein,3,LIE
128,Bélarus,4,BLR
129,Oman,7,OMN
130,Chili,31,CHL
131,Belarus,2,BLR
132,Guinée-Bissau,2,GNB
133,Albanie,29,ALB
134,Guyana,9,GUY
135,Ouzbékistan,19,UZB
136,Uruguay,4,URY
137,Cambodge,2,KHM
