,Loc,Value,ISO-3
0,France,313,FRA
1,Tchad,21,TCD
2,Russie,79,RUS
3,Maroc,5,MAR
4,Espagne,8,ESP
5,Nigeria,10,NGA
6,Éthiopie,3,ETH
7,Algérie,20,DZA
8,Inde,2,IND
9,Niger,45,NER
10,Australie,2,AUS
11,Chine,11,CHN
12,Afghanistan,9,AFG
13,Suisse,4,CHE
14,Libye,41,LBY
15,Ukraine,10,UKR
16,Moldavie,2,MDA
17,Géorgie,2,GEO
18,Argentine,3,ARG
19,Canada,3,CAN
20,Brésil,6,BRA
21,Syrie,50,SYR
22,Turquie,29,TUR
23,Iran,5,IRN
24,Jordanie,4,JOR
25,Qatar,7,QAT
26,Liban,6,LBN
27,Centrafrique,4,CAF
28,Corée du Nord,3,PRK
29,Italie,19,ITA
30,Danemark,3,DNK
31,Hongrie,2,HUN
32,Belgique,5,BEL
33,Autriche,6,AUT
34,Luxembourg,2,LUX
35,Mexique,2,MEX
