,Loc,Value,ISO-3
0,Nigeria,218,NGA
1,Zimbabwe,56,ZWE
2,Tchad,538,TCD
3,Centrafrique,614,CAF
4,Éthiopie,1005,ETH
5,Soudan,381,SDN
6,France,3047,FRA
7,Ghana,163,GHA
8,Sénégal,553,SEN
9,Guinée,175,GIN
10,Russie,937,RUS
11,Niger,1092,NER
12,Rwanda,57,RWA
13,Cameroun,846,CMR
14,Chine,422,CHN
15,Mozambique,365,MOZ
16,Burundi,217,BDI
17,Burkina Faso,862,BFA
18,Érythrée,83,ERI
19,Iran,432,IRN
20,Madagascar,75,MDG
21,Somalie,145,SOM
22,Congo,33,COG
23,Libye,258,LBY
24,Portugal,18,PRT
25,Ukraine,21,UKR
26,Bénin,257,BEN
27,Libéria,7,LBR
28,Liberia,7,LBR
29,Algérie,774,DZA
30,Espagne,9,ESP
31,Venezuela,39,VEN
32,Ouganda,71,UGA
33,Palestine,48,PSE
34,Maroc,259,MAR
35,Tunisie,147,TUN
36,Turquie,96,TUR
37,République centrafricaine,55,CAF
38,Australie,8,AUS
39,Suisse,45,CHE
40,Djibouti,181,DJI
41,Kenya,128,KEN
42,Émirats arabes unis,47,ARE
43,Nigéria,89,NGA
44,Suède,9,SWE
45,Togo,61,TGO
46,Canada,14,CAN
47,Japon,2,JPN
48,Syrie,116,SYR
49,Afghanistan,52,AFG
50,Tadjikistan,14,TJK
51,Ouzbékistan,2,UZB
52,Guinée équatoriale,120,GNQ
53,Gabon,216,GAB
54,Tonga,3,TON
55,Yémen,35,YEM
56,Colombie,2,COL
57,Tanzanie,33,TZA
58,Mauritanie,76,MRT
59,Irak,33,IRQ
60,Égypte,127,EGY
61,Norvège,6,NOR
62,Angola,15,AGO
63,Egypte,16,EGY
64,Gambie,25,GMB
65,Soudan du Sud,75,SSD
66,Inde,23,IND
67,Seychelles,2,SYC
68,Sri Lanka,5,LKA
69,Danemark,17,DNK
70,BURUNDI,2,BDI
71,soudan,4,SDN
72,Irlande,3,IRL
73,Botswana,5,BWA
74,Pakistan,2,PAK
75,Pologne,2,POL
76,Hongrie,9,HUN
77,Belgique,21,BEL
78,Vietnam,9,VNM
79,Cambodge,2,KHM
80,Lituanie,3,LTU
81,Cuba,14,CUB
82,Zambie,33,ZMB
83,Erythrée,2,ERI
84,Ethiopie,9,ETH
85,Italie,20,ITA
86,République Centrafricaine,2,CAF
87,Emirats arabes unis,7,ARE
