,Loc,Value,ISO-3
0,Tchad,251,TCD
1,Centrafrique,34,CAF
2,Soudan du Sud,2,SSD
3,Togo,230,TGO
4,Algérie,672,DZA
5,France,1516,FRA
6,Niger,454,NER
7,Russie,520,RUS
8,États-Unis,330,USA
9,Cameroun,125,CMR
10,Bénin,71,BEN
11,Burkina Faso,460,BFA
12,Turquie,92,TUR
13,Libye,460,LBY
14,Ukraine,11,UKR
15,Mauritanie,92,MRT
16,Chine,141,CHN
17,Pologne,6,POL
18,Maroc,295,MAR
19,Espagne,24,ESP
20,Sierra Leone,8,SLE
21,Gambie,14,GMB
22,Sénégal,276,SEN
23,Ghana,39,GHA
24,Tunisie,156,TUN
25,Éthiopie,6,ETH
26,Australie,14,AUS
27,Guinée,122,GIN
28,Côte d'Ivoire,62,CIV
29,Hongrie,2,HUN
30,République Tchèque,2,CZE
31,Italie,21,ITA
32,Portugal,4,PRT
33,Nigeria,97,NGA
34,Guinée équatoriale,15,GNQ
35,Gabon,12,GAB
36,Serbie,11,SRB
37,Qatar,10,QAT
38,Zimbabwe,4,ZWE
39,Égypte,52,EGY
40,Soudan,43,SDN
41,Afghanistan,63,AFG
42,Syrie,107,SYR
43,Irak,40,IRQ
44,Royaume-Uni,30,GBR
45,Pakistan,6,PAK
46,Inde,32,IND
47,Yémen,11,YEM
48,Iran,16,IRN
49,Israël,30,ISR
50,République centrafricaine,17,CAF
51,Angola,6,AGO
52,Congo,6,COG
53,Estonie,4,EST
54,Taïwan,2,TWN
55,Vietnam,4,VNM
56,Haïti,3,HTI
