,Loc,Value,ISO-3
0,Russie,1146,RUS
1,Pologne,66,POL
2,Hongrie,41,HUN
3,Chine,684,CHN
4,Afghanistan,152,AFG
5,Italie,163,ITA
6,Belarus,5,BLR
7,Tadjikistan,5,TJK
8,Burkina Faso,32,BFA
9,Maroc,95,MAR
10,Mali,141,MLI
11,Libye,164,LBY
12,Ukraine,275,UKR
13,Moldavie,2,MDA
14,Mexique,17,MEX
15,Argentine,31,ARG
16,Canada,33,CAN
17,Turquie,319,TUR
18,Syrie,706,SYR
19,Iran,414,IRN
20,Jordanie,17,JOR
21,Qatar,58,QAT
22,Liban,184,LBN
23,Centrafrique,7,CAF
24,Belgique,77,BEL
25,Suisse,100,CHE
26,Portugal,11,PRT
27,Tchad,29,TCD
28,Vatican,18,VAT
29,Palestine,90,PSE
30,Irak,123,IRQ
31,Japon,36,JPN
32,Autriche,23,AUT
33,Singapour,16,SGP
34,Venezuela,125,VEN
35,Roumanie,21,ROU
36,Irlande,2,IRL
37,Madagascar,10,MDG
38,Cuba,36,CUB
39,Soudan,36,SDN
40,Panama,55,PAN
41,Danemark,13,DNK
42,Espagne,60,ESP
43,Inde,65,IND
44,Chypre,27,CYP
45,Gabon,11,GAB
46,Bangladesh,3,BGD
47,Rwanda,29,RWA
48,Niger,39,NER
49,Australie,84,AUS
50,Pakistan,18,PAK
51,Congo,17,COG
52,Serbie,12,SRB
53,Cambodge,8,KHM
54,Lituanie,3,LTU
55,Tunisie,31,TUN
56,Albanie,14,ALB
57,Kosovo,41,XKX
58,Monaco,4,MCO
59,Estonie,8,EST
60,Lettonie,5,LVA
61,Luxembourg,7,LUX
62,Chili,8,CHL
63,Tanzanie,4,TZA
64,Burundi,2,BDI
65,Croatie,2,HRV
66,Nigeria,8,NGA
67,Bolivie,2,BOL
68,Colombie,15,COL
69,Taiwan,3,TWN
70,Djibouti,3,DJI
71,Ghana,2,GHA
72,Guyana,14,GUY
73,Suriname,3,SUR
74,Vietnam,5,VNM
75,Philippines,4,PHL
76,Slovaquie,13,SVK
77,Bulgarie,5,BGR
78,Zimbabwe,3,ZWE
79,Cameroun,3,CMR
80,Malte,6,MLT
81,Finlande,8,FIN
82,Mauritanie,2,MRT
83,Salomon,4,SLB
84,Oman,2,OMN
85,Somalie,11,SOM
86,Laos,3,LAO
87,Maldives,2,MDV
88,Malaisie,3,MYS
89,Angola,2,AGO
90,Paraguay,9,PRY
91,Guatemala,2,GTM
92,Kenya,2,KEN
93,Samoa,2,WSM
