,Loc,Value,ISO-3
0,Libye,708,LBY
1,Tunisie,369,TUN
2,Maroc,684,MAR
3,Russie,3766,RUS
4,Djibouti,283,DJI
5,Italie,160,ITA
6,Iran,5670,IRN
7,Irak,799,IRQ
8,Niger,1002,NER
9,Burundi,285,BDI
10,Chine,1871,CHN
11,Somalie,209,SOM
12,Belgique,62,BEL
13,Cameroun,976,CMR
14,Comores,38,COM
15,Tchad,567,TCD
16,Finlande,17,FIN
17,Gabon,287,GAB
18,Mali,3807,MLI
19,Pologne,186,POL
20,Danemark,70,DNK
21,Turquie,1085,TUR
22,Syrie,2186,SYR
23,Nigeria,239,NGA
24,Burkina Faso,839,BFA
25,Inde,167,IND
26,Centrafrique,778,CAF
27,Qatar,61,QAT
28,Australie,201,AUS
29,Gambie,28,GMB
30,Mozambique,420,MOZ
31,Liban,1091,LBN
32,Chypre,65,CYP
33,Ukraine,394,UKR
34,Ghana,179,GHA
35,Rwanda,74,RWA
36,Pakistan,48,PAK
37,Soudan,506,SDN
38,Vatican,3,VAT
39,Albanie,8,ALB
40,Afghanistan,413,AFG
41,Madagascar,93,MDG
42,Bulgarie,19,BGR
43,Estonie,11,EST
44,Ouganda,100,UGA
45,Venezuela,299,VEN
46,Zimbabwe,66,ZWE
47,Suisse,86,CHE
48,Oman,9,OMN
49,Cuba,59,CUB
50,Vietnam,21,VNM
51,Bolivie,16,BOL
52,Mauritanie,97,MRT
53,Palestine,122,PSE
54,Singapour,7,SGP
55,Kenya,149,KEN
56,chine,4,CHN
57,Serbie,23,SRB
58,Ethiopie,4,ETH
59,Japon,86,JPN
60,Luxembourg,6,LUX
61,Congo,37,COG
62,Angola,19,AGO
63,Espagne,41,ESP
64,Malaisie,2,MYS
65,Canada,88,CAN
66,Philippines,16,PHL
67,Togo,37,TGO
68,Roumanie,14,ROU
69,Croatie,12,HRV
70,Hongrie,32,HUN
71,Jordanie,44,JOR
72,Portugal,36,PRT
73,Cap-Vert,13,CPV
74,Colombie,8,COL
75,Nicaragua,7,NIC
76,Tanzanie,52,TZA
77,Egypte,34,EGY
78,Zambie,21,ZMB
79,Uruguay,4,URY
80,Mexique,19,MEX
81,Liberia,7,LBR
82,Tadjikistan,42,TJK
83,Lituanie,12,LTU
84,Cambodge,2,KHM
85,Salvador,8,SLV
86,Lettonie,11,LVA
87,Kirghizistan,12,KGZ
88,Seychelles,2,SYC
89,Autriche,9,AUT
90,Argentine,11,ARG
91,Guatemala,3,GTM
92,Slovaquie,2,SVK
93,Panama,2,PAN
94,Chili,3,CHL
95,Tonga,3,TON
96,Kosovo,8,XKX
97,Kazakhstan,4,KAZ
98,Irlande,9,IRL
99,Botswana,5,BWA
100,Taiwan,3,TWN
101,soudan,2,SDN
102,BURUNDI,2,BDI
103,Islande,3,ISL
104,Senegal,2,SEN
105,Palaos,2,PLW
