,Loc,Value,ISO-3
0,Tunisie,148,TUN
1,Kosovo,22,XKX
2,Chine,101,CHN
3,Inde,30,IND
4,Libye,109,LBY
5,Italie,248,ITA
6,Syrie,317,SYR
7,Russie,91,RUS
8,Maroc,274,MAR
9,Bulgarie,9,BGR
10,Malte,28,MLT
11,Salvador,2,SLV
12,Irak,110,IRQ
13,Afghanistan,511,AFG
14,Soudan,45,SDN
15,Belgique,125,BEL
16,Turquie,209,TUR
17,Roumanie,45,ROU
18,Iran,42,IRN
19,Mali,203,MLI
20,Niger,35,NER
21,Espagne,116,ESP
22,Nigeria,30,NGA
23,Venezuela,11,VEN
24,Suisse,63,CHE
25,Mexique,13,MEX
26,Rwanda,42,RWA
27,Hongrie,44,HUN
28,Danemark,26,DNK
29,Albanie,10,ALB
30,Jordanie,9,JOR
31,Suriname,2,SUR
32,Pakistan,77,PAK
33,Burkina Faso,18,BFA
34,Mauritanie,9,MRT
35,Qatar,28,QAT
36,Japon,25,JPN
37,Liban,7,LBN
38,Irlande,20,IRL
39,Brunei,2,BRN
40,Koweit,3,KWT
41,Kenya,9,KEN
42,Autriche,66,AUT
43,Madagascar,5,MDG
44,Togo,2,TGO
45,Comores,21,COM
46,Australie,28,AUS
47,Gabon,4,GAB
48,Canada,27,CAN
49,Panama,2,PAN
50,Ukraine,17,UKR
51,Bolivie,8,BOL
52,Centrafrique,6,CAF
53,Chypre,7,CYP
54,Portugal,41,PRT
55,Somalie,23,SOM
56,Vatican,4,VAT
57,Cuba,2,CUB
58,Luxembourg,10,LUX
59,Angola,4,AGO
60,Colombie,14,COL
61,Cambodge,2,KHM
62,Malaisie,5,MYS
63,Chili,2,CHL
64,Pologne,79,POL
65,Lituanie,9,LTU
66,Lettonie,5,LVA
67,Belarus,6,BLR
68,Singapour,8,SGP
69,Slovaquie,6,SVK
70,Congo,11,COG
71,Monaco,2,MCO
72,Gambie,2,GMB
73,Burundi,2,BDI
74,Mozambique,3,MOZ
75,Taiwan,4,TWN
76,Moldavie,6,MDA
77,Philippines,4,PHL
78,Tanzanie,3,TZA
79,Djibouti,6,DJI
80,Grenade,4,GRD
81,Palestine,8,PSE
82,Tchad,6,TCD
83,Ouganda,2,UGA
84,Tadjikistan,10,TJK
85,Vietnam,4,VNM
86,Egypte,2,EGY
87,Liberia,3,LBR
88,Finlande,2,FIN
89,Bangladesh,21,BGD
90,Cameroun,2,CMR
91,Namibie,3,NAM
92,Serbie,2,SRB
93,Zimbabwe,2,ZWE
94,Oman,2,OMN
