,Loc,Value,ISO-3
0,Russie,6462,RUS
1,Turquie,2428,TUR
2,Tunisie,927,TUN
3,Italie,1067,ITA
4,Israël,982,ISR
5,Algérie,3467,DZA
6,Mali,1796,MLI
7,Niger,402,NER
8,États-Unis,5934,USA
9,Espagne,461,ESP
10,Maroc,2072,MAR
11,Syrie,1731,SYR
12,Irak,549,IRQ
13,Chine,2834,CHN
14,Royaume-Uni,1074,GBR
15,Cameroun,740,CMR
16,Corée du Nord,85,PRK
17,Portugal,111,PRT
18,Liban,1039,LBN
19,Azerbaïdjan,457,AZE
20,Iran,2220,IRN
21,Koweït,26,KWT
22,Jordanie,46,JOR
23,Qatar,259,QAT
24,Canada,610,CAN
25,Arménie,330,ARM
26,Grèce,476,GRC
27,Burkina Faso,364,BFA
28,Mexique,133,MEX
29,Ukraine,870,UKR
30,Belgique,406,BEL
31,Équateur,43,ECU
32,Cuba,124,CUB
33,Géorgie,26,GEO
34,Libye,1522,LBY
35,Inde,588,IND
36,Chypre,78,CYP
37,Japon,233,JPN
38,Sri Lanka,31,LKA
39,Pakistan,119,PAK
40,Bangladesh,19,BGD
41,Somalie,29,SOM
42,Kenya,45,KEN
43,Tadjikistan,24,TJK
44,Guinée,167,GIN
45,Gabon,64,GAB
46,Palestine,72,PSE
47,Bénin,128,BEN
48,Soudan,147,SDN
49,Sénégal,525,SEN
50,Égypte,364,EGY
51,Mozambique,13,MOZ
52,Australie,551,AUS
53,Gambie,24,GMB
54,Colombie,59,COL
55,Andorre,25,AND
56,Afghanistan,943,AFG
57,Suède,117,SWE
58,Vanuatu,6,VUT
59,Corée du Sud,80,KOR
60,Norvège,61,NOR
61,Monténégro,22,MNE
62,Rwanda,288,RWA
63,Congo,81,COG
64,Ouganda,56,UGA
65,Mongolie,4,MNG
66,Brunei,4,BRN
67,Pays-Bas,181,NLD
68,Centrafrique,203,CAF
69,Estonie,26,EST
70,Bulgarie,56,BGR
71,Lituanie,34,LTU
72,Yémen,211,YEM
73,Togo,189,TGO
74,Pologne,344,POL
75,Monaco,11,MCO
76,Suisse,208,CHE
77,Éthiopie,54,ETH
78,Nigeria,123,NGA
79,Ghana,45,GHA
80,Zambie,9,ZMB
81,Côte d'Ivoire,135,CIV
82,Madagascar,63,MDG
83,Autriche,117,AUT
84,Danemark,111,DNK
85,Islande,18,ISL
86,Kazakhstan,21,KAZ
87,Singapour,26,SGP
88,Luxembourg,37,LUX
89,Mauritanie,120,MRT
90,Vietnam,55,VNM
91,République du Congo,2,COG
92,Brésil,284,BRA
93,Hongrie,109,HUN
94,Djibouti,13,DJI
95,Émirats arabes unis,157,ARE
96,Taïwan,72,TWN
97,Tchad,356,TCD
98,Comores,10,COM
99,Tonga,2,TON
100,Turkménistan,8,TKM
101,Tuvalu,2,TUV
102,Vatican,33,VAT
103,Thaïlande,26,THA
104,Angola,29,AGO
105,Burundi,87,BDI
106,Nouvelle-Zélande,58,NZL
107,Croatie,70,HRV
108,Indonésie,47,IDN
109,Lettonie,28,LVA
110,Roumanie,54,ROU
111,Vénézuéla,10,VEN
112,Haïti,106,HTI
113,République dominicaine,8,DOM
114,Slovénie,13,SVN
115,Malte,17,MLT
116,Émirats Arabes unis,2,ARE
117,Philippines,19,PHL
118,République tchèque,40,CZE
119,Irlande,31,IRL
120,Bahreïn,46,BHR
121,République centrafricaine,54,CAF
122,Pérou,24,PER
123,Bolivie,37,BOL
124,Argentine,53,ARG
125,Finlande,46,FIN
126,Guatemala,8,GTM
127,Nicaragua,4,NIC
128,Serbie,95,SRB
129,Kosovo,195,XKX
130,Slovaquie,37,SVK
131,Maurice,4,MUS
132,Liechtenstein,3,LIE
133,Bélarus,4,BLR
134,Oman,7,OMN
135,Chili,31,CHL
136,Guinée-Bissau,2,GNB
137,Albanie,29,ALB
138,Guyana,9,GUY
139,Ouzbékistan,19,UZB
140,Uruguay,4,URY
141,Cambodge,2,KHM
142,Guinée équatoriale,56,GNQ
143,Kirghizistan,8,KGZ
144,Moldavie,7,MDA
145,Panama,10,PAN
146,Botswana,14,BWA
147,Érythrée,4,ERI
148,Namibie,2,NAM
149,Lesotho,4,LSO
150,Eswatini,6,SWZ
151,Zimbabwe,11,ZWE
152,Saint-Marin,25,SMR
153,Sierra Leone,7,SLE
154,Malaisie,15,MYS
155,Maldives,9,MDV
156,Bosnie-Herzégovine,6,BIH
157,Népal,2,NPL
158,République Tchèque,2,CZE
159,Costa Rica,2,CRI
160,Salvador,7,SLV
161,Bahamas,6,BHS
162,Émirats Arabes Unis,2,ARE
163,Jamaïque,2,JAM
164,Samoa,2,WSM
165,Paraguay,4,PRY
166,Seychelles,4,SYC
167,suisse,2,CHE
