,Loc,Value,ISO-3
0,Burkina Faso,30,BFA
1,France,313,FRA
2,Niger,45,NER
3,Russie,79,RUS
4,Syrie,50,SYR
5,Qatar,7,QAT
6,Djibouti,3,DJI
7,Ghana,2,GHA
8,Tchad,21,TCD
9,Espagne,8,ESP
10,Italie,19,ITA
11,Chine,11,CHN
12,Ukraine,10,UKR
13,Irak,16,IRQ
14,Liban,6,LBN
15,Afghanistan,9,AFG
16,Libye,41,LBY
17,Jordanie,4,JOR
18,Turquie,29,TUR
19,Soudan,2,SDN
20,Nigeria,10,NGA
21,Centrafrique,4,CAF
22,Madagascar,2,MDG
23,Tunisie,2,TUN
24,Maroc,5,MAR
25,Inde,2,IND
26,Australie,2,AUS
27,Suisse,4,CHE
28,Moldavie,2,MDA
29,Argentine,3,ARG
30,Canada,3,CAN
31,Iran,5,IRN
32,Danemark,3,DNK
33,Hongrie,2,HUN
34,Belgique,5,BEL
35,Autriche,6,AUT
36,Luxembourg,2,LUX
37,Mexique,2,MEX
