,Loc,Value,ISO-3
0,Éthiopie,1005,ETH
1,États-Unis,1443,USA
2,Israël,756,ISR
3,Palestine,48,PSE
4,Somalie,145,SOM
5,Libye,258,LBY
6,Turquie,96,TUR
7,Algérie,774,DZA
8,Niger,1092,NER
9,Burkina Faso,862,BFA
10,Cameroun,846,CMR
11,Soudan,381,SDN
12,Bénin,257,BEN
13,France,3047,FRA
14,Tchad,538,TCD
15,Chine,422,CHN
16,Cuba,14,CUB
17,Maroc,259,MAR
18,Soudan du Sud,75,SSD
19,Érythrée,83,ERI
20,Nigeria,218,NGA
21,Burundi,217,BDI
22,Syrie,116,SYR
23,Iran,432,IRN
24,Centrafrique,614,CAF
25,Égypte,127,EGY
26,Royaume-Uni,27,GBR
27,Sénégal,553,SEN
28,Afghanistan,52,AFG
29,Djibouti,181,DJI
30,Belgique,21,BEL
31,Mauritanie,76,MRT
32,Mozambique,365,MOZ
33,Rwanda,57,RWA
34,Zimbabwe,56,ZWE
35,Guinée équatoriale,120,GNQ
36,Russie,937,RUS
37,Ghana,163,GHA
38,Italie,20,ITA
39,Tunisie,147,TUN
40,République centrafricaine,55,CAF
41,Côte d'Ivoire,101,CIV
42,Émirats arabes unis,47,ARE
43,Bahreïn,6,BHR
44,Yémen,35,YEM
45,Guinée,175,GIN
46,Canada,14,CAN
47,Irak,33,IRQ
48,Liban,10,LBN
49,Tanzanie,33,TZA
50,Angola,15,AGO
51,Togo,61,TGO
52,soudan,4,SDN
53,Gabon,216,GAB
54,République tchèque,3,CZE
55,Grèce,7,GRC
56,Suisse,45,CHE
57,Kenya,128,KEN
58,Zambie,33,ZMB
59,Botswana,5,BWA
60,Danemark,17,DNK
61,Norvège,6,NOR
62,Indonésie,2,IDN
63,Cap-Vert,9,CPV
64,Congo,33,COG
65,Madagascar,75,MDG
66,République du Congo,4,COG
67,Portugal,18,PRT
68,chine,2,CHN
69,Roumanie,2,ROU
70,Brésil,2,BRA
71,Guinée-Bissau,8,GNB
72,Ouganda,71,UGA
73,Qatar,2,QAT
74,Inde,23,IND
75,Gambie,25,GMB
76,Estonie,2,EST
77,Finlande,3,FIN
78,Comores,25,COM
79,Espagne,9,ESP
80,Ukraine,21,UKR
81,Libéria,7,LBR
82,Azerbaïdjan,5,AZE
83,Australie,8,AUS
84,Suède,9,SWE
85,Nouvelle-Zélande,2,NZL
86,Japon,2,JPN
87,Tadjikistan,14,TJK
88,Ouzbékistan,2,UZB
89,Tonga,3,TON
90,Haïti,5,HTI
91,Colombie,2,COL
92,Seychelles,2,SYC
93,Sri Lanka,5,LKA
94,BURUNDI,2,BDI
95,Irlande,3,IRL
96,Pakistan,2,PAK
97,Pologne,2,POL
98,côte d'Ivoire,2,CIV
99,Hongrie,9,HUN
100,Vietnam,9,VNM
101,Cambodge,2,KHM
102,Lituanie,3,LTU
103,République Centrafricaine,2,CAF
