,Loc,Value,ISO-3
0,France,1516,FRA
1,Niger,454,NER
2,Libye,460,LBY
3,Burkina Faso,460,BFA
4,Italie,21,ITA
5,Togo,230,TGO
6,Maroc,295,MAR
7,Russie,520,RUS
8,Chine,141,CHN
9,Tunisie,156,TUN
10,Turquie,92,TUR
11,Iran,16,IRN
12,Koweït,3,KWT
13,Jordanie,9,JOR
14,Qatar,10,QAT
15,Gambie,14,GMB
16,Cameroun,125,CMR
17,Nigeria,97,NGA
18,Cap-Vert,2,CPV
19,Ghana,39,GHA
20,Sierra Leone,8,SLE
21,Burundi,20,BDI
22,Kenya,10,KEN
23,Rwanda,19,RWA
24,Côte d'Ivoire,62,CIV
25,Roumanie,4,ROU
26,Syrie,107,SYR
27,Liban,10,LBN
28,Afghanistan,63,AFG
29,Tchad,251,TCD
30,Soudan,43,SDN
31,Mauritanie,92,MRT
32,Gabon,12,GAB
33,Canada,33,CAN
34,Suisse,6,CHE
35,Centrafrique,34,CAF
36,Vietnam,4,VNM
37,Belgique,11,BEL
38,Somalie,6,SOM
39,Irak,40,IRQ
40,Royaume-Uni,30,GBR
41,Israël,30,ISR
42,Venezuela,12,VEN
43,Colombie,2,COL
44,Pakistan,6,PAK
45,Inde,32,IND
46,Pologne,6,POL
47,Autriche,4,AUT
48,Madagascar,5,MDG
49,Bahreïn,9,BHR
50,Espagne,24,ESP
51,Estonie,4,EST
52,Pays-Bas,6,NLD
53,Portugal,4,PRT
54,Liberia,4,LBR
55,Congo,6,COG
56,Angola,6,AGO
57,Japon,4,JPN
58,Benin,3,BEN
59,Danemark,2,DNK
60,Seychelles,2,SYC
61,Zimbabwe,4,ZWE
62,Albanie,2,ALB
63,Soudan du Sud,2,SSD
64,Ukraine,11,UKR
65,Australie,14,AUS
66,Hongrie,2,HUN
67,Serbie,11,SRB
68,Etats-Unis,2,USA
69,Taïwan,2,TWN
70,Haïti,3,HTI
