,Names,Values
0,delamare,28
1,wonder,23
2,tapie,64
3,testut,6
4,attagnant,3
5,ministre,69
6,philippe,171
7,macron,822
8,courtois,2
9,jeancharles,2
10,lemmy,133
11,mouratov,4
12,poutine,383
13,navalny,21
14,cayla,25
15,helen,93
16,nick,51
17,pialoux,10
18,bourdin,190
19,attal,243
20,zambrano,3
21,christ,124
22,sanhedrin,14
23,wargon,72
24,emmanuelle,13
25,raoult,158
26,breton,40
27,lacoste,92
28,loukachenko,5
29,glaz,53
30,striketober,2
31,zemmour,346
32,petain,34
33,hilberg,2
34,laval,27
35,oberg,88
36,himmler,189
37,habib,97
38,netanyahou,57
39,bibi,101
40,shek,35
41,hollande,63
42,bruno,235
43,bhl,352
44,valls,108
45,corinne,4
46,aristide,2
47,samy,123
48,johanna,16
49,valeria,3
50,zabel,26
51,vernochet,614
52,journal,207
53,gantois,85
54,rigault,10
55,bertrand,20
56,bronner,32
57,frachon,6
58,vallancien,2
59,tardy,34
60,xi,262
61,rahmon,42
62,igounet,6
63,cluzet,13
64,sankara,7
65,traore,158
66,pitroipa,2
67,jinping,14
68,xiaoping,6
69,mao,282
70,soral,983
71,sancery,38
72,durrant,9
73,schadt,2
74,tomasini,5
75,menotti,2
76,pen,284
77,bardella,62
78,dsk,39
79,strausskahn,9
80,gollnisch,25
81,orban,82
82,buisson,22
83,drahi,52
84,goldnadel,19
85,benillouche,2
86,abitbol,2
87,marine,200
88,cukierman,6
89,menard,80
90,sarkozy,188
91,bolloregoldschmidt,2
92,nadler,18
93,madar,119
94,poussard,163
95,gave,173
96,castries,2
97,tavernost,4
98,nuland,15
99,ryabkov,5
100,prezidenta,105
101,kozak,7
102,jakubowicz,34
103,jaku,37
104,praud,113
105,peguy,13
106,kadhafi,9
107,mbeko,4
108,toussaint,37
109,jesus,48
110,arnault,12
111,briens,11
112,dieudonne,352
113,hindi,89
114,vizio,11
115,ryssen,67
116,bannon,18
117,trump,674
118,zuckerberg,21
119,cameron,9
120,biden,718
121,chevallier,10
122,achenoune,2
123,antoine,10
124,rte,33
125,bougle,36
126,washington,100
127,erdogan,64
128,maiga,83
129,cazeneuve,12
130,fenech,20
131,gillery,22
132,abaaoud,5
133,charles,40
134,fauvergue,7
135,beneux,5
136,portes,10
137,lhomme,5
138,marchand,10
139,greta,51
140,julien,40
141,legitimus,3
142,belliot,110
143,celine,123
144,darbois,86
145,viguier,164
146,melenchon,255
147,guedj,10
148,hidalgo,56
149,anne,99
150,momboisse,2
151,veran,100
152,buzyn,56
153,veil,60
154,gricourt,2
155,laurence,20
156,beaugrand,5
157,moix,103
158,naulleau,31
159,aphatie,68
160,ruquier,42
161,ratier,46
162,bouchet,39
163,beregovoy,2
164,mitterrand,44
165,bianco,15
166,rocard,42
167,vigouroux,2
168,matignon,12
169,chirac,108
170,giscard,40
171,gaudin,37
172,epstein,245
173,blanquer,18
174,castex,108
175,molina,19
176,saoud,17
177,infantino,2
178,elmaleh,45
179,nougaro,3
180,mosker,2
181,rivarol,43
182,villiers,16
183,onfray,58
184,michea,50
185,hippocrate,6
186,olivennes,12
187,duchamp,2
188,benjamin,11
189,travers,7
190,victoire,16
191,yseult,23
192,legrand,10
193,gregoire,8
194,castaldi,2
195,bigard,27
196,vidal,28
197,elkabbach,2
198,vigogne,2
199,sheila,4
200,loana,61
201,hanouna,41
202,essebag,2
203,courbit,3
204,jordana,16
205,nagui,4
206,nakamura,2
207,covid,93
208,janssen,3
209,halter,31
210,chalghoumi,2
211,lejeune,5
212,glaber,3
213,romulus,2
214,runciman,2
215,platon,13
216,heinsohn,2
217,guyenot,18
218,mccain,20
