,Names,Values
0,mushingi,3
1,ouattara,200
2,michel,21
3,gbagbo,95
4,johnson,38
5,trump,224
6,zarif,70
7,javad,12
8,macron,744
9,ansarallah,210
10,hultqvist,4
11,dupontaignan,2
12,tusk,15
13,salami,84
14,washington,495
15,morawiecki,6
16,rohani,115
17,obama,16
18,bolton,24
19,guelleh,13
20,drian,135
21,lemine,26
22,mumin,17
23,zakzaky,9
24,touadera,114
25,bohigian,4
26,mark,77
27,conde,34
28,traore,11
29,khamenei,23
30,jammeh,17
31,deby,57
32,wallace,4
33,poutine,178
34,netanyahu,55
35,nyusi,25
36,dubowitz,2
37,balaban,5
38,juillet,7
39,talon,43
40,hongwei,5
41,yerkes,58
42,haftar,156
43,issoufou,2
44,asghar,6
45,abdessalam,4
46,bokassa,3
47,katz,70
48,kalifat,10
49,ministre,124
50,hariri,47
51,tshisekedi,73
52,canico,4
53,wemba,12
54,arafat,8
55,saga,165
56,assad,80
57,mariani,15
58,adraee,6
59,chamkhani,12
60,bensalah,6
61,guetta,2
62,elbechir,26
63,machar,15
64,araud,11
65,hosomi,3
66,barkhane,615
67,kagame,16
68,bongo,88
69,nebenzia,9
70,jesus,7
71,khan,52
72,caesar,16
73,parly,111
74,biya,114
75,alsissi,15
76,mohammadi,16
77,zbidi,8
78,yuma,20
79,dicko,68
80,aboukamal,2
81,bouba,41
82,qassemi,24
83,nunez,8
84,kadhafi,41
85,ilunga,2
86,chekatt,2
87,zouari,4
88,opex,19
89,castaner,2
90,aoun,68
91,khashoggi,19
92,lefebvre,2
93,borissov,2
94,garcia,2
95,kabila,109
96,amisi,5
97,georgelin,2
98,navalny,15
99,khodorkovsky,4
100,instex,17
101,bouteflika,28
102,akouch,3
103,mossis,6
104,steiger,2
105,maurer,2
106,premier,4
107,epstein,3
108,mesurier,3
109,armory,2
110,baeidinejad,3
111,jinping,24
112,atwan,30
113,keita,32
114,melenchon,16
115,coulibaly,6
116,bloomberg,23
117,pompeo,112
118,maurice,3
119,volfa,3
120,mckenzie,23
121,morales,14
122,nord,27
123,hollande,10
124,sarkozy,15
125,mahmoud,11
126,toure,9
127,farama,10
128,mahdi,32
129,alameri,3
130,alyoum,6
131,sangare,39
132,burkhard,10
133,brantex,4
134,chaayafa,3
135,erdogan,90
136,biden,133
