,Names,Values
0,ministre,15
1,philippe,45
2,guerrab,2
3,goulard,43
4,madeleine,4
5,melenchon,126
6,dave,80
7,trapenard,5
8,karim,83
9,mbemba,8
10,thiebaut,2
11,amine,33
12,fourquet,11
13,smith,4
14,bras,85
15,abittan,2
16,porcher,21
17,hadj,30
18,chauvet,5
19,thunberg,9
20,clain,47
21,yaqoob,3
22,dowell,2
23,yidai,23
24,gilligmann,3
25,madani,28
26,beggui,8
27,cochet,21
28,belarbaoui,2
29,badikyan,2
30,chirac,17
31,rackete,2
32,rost,66
33,keumurian,2
34,remi,11
35,auziere,2
36,bensoussan,20
37,juncker,4
38,leyen,49
39,soral,61
40,booba,25
41,modibo,3
42,trump,116
43,guernion,2
44,larrive,9
45,pecresse,49
46,conte,31
47,adhar,64
48,raoni,7
49,bailey,12
50,batho,20
51,robert,44
52,abbes,17
53,schulmann,2
54,salvini,59
55,merkel,31
56,therou,28
57,ndiaye,30
58,mohammed,72
59,lilla,149
60,zemmour,496
61,saillard,21
62,abdurrahman,3
63,hanouna,17
64,rieu,101
65,gazan,19
66,nakamura,5
67,ruquier,12
68,corselis,2
69,dambach,2
70,maurice,15
71,moix,46
72,grasset,7
73,lucie,28
74,perret,49
75,morrissey,7
76,timothy,7
77,gbaffou,2
78,macron,469
79,jaouadi,29
80,belloubet,18
81,mabrouk,9
82,thuram,31
83,jolivet,19
84,monsinay,4
85,janadin,15
86,menes,36
87,ramadan,38
88,hassani,46
89,samir,45
90,patricia,5
91,jeanpierre,2
92,napoleon,68
93,rapoport,4
94,hamza,53
95,cabare,12
96,schmitz,4
97,zlotowski,2
98,hugo,33
99,kurdi,33
100,khan,56
101,ruffin,8
102,angot,78
103,drogba,2
104,cesar,35
105,vercingetorix,5
106,homere,10
107,hesiode,2
108,szafran,11
109,orban,38
110,technologies,2
111,hortefeux,4
112,lakdim,3
113,jadot,37
114,dubois,20
115,menard,47
116,lodhi,2
117,ducros,6
118,woessner,25
119,obertone,5
120,guerilla,3
121,bourdon,13
122,brengarth,2
123,laabid,4
124,fugit,4
125,assidi,5
126,trenet,12
127,charles,10
128,conrad,11
129,ressiguier,6
130,harroud,3
131,hidalgo,51
132,karwan,7
133,charlotte,3
134,buddy,44
135,schaefer,4
136,aurelien,4
137,oualhaci,5
138,peyrad,8
139,hicham,5
140,valette,6
141,kevin,18
142,ravier,32
143,touloub,3
144,mansour,2
145,najar,25
146,bajrafil,2
147,pen,243
148,recappe,2
149,eljay,16
150,tijani,2
151,maisto,3
152,goulet,22
153,boutier,12
154,castaner,59
155,elbahi,2
156,gourevitch,4
157,lemoyne,24
158,ghannouchi,5
159,mongaillard,2
160,desaxe,2
161,amari,27
162,yassine,21
163,brahim,10
164,jambon,10
165,kersimon,7
166,malka,44
167,allah,77
168,claude,4
169,gbr,14
170,frederic,8
171,mokeddem,5
172,gwendoline,5
173,parly,165
174,plaza,4
175,delon,48
176,sandlarz,3
177,vincentlambert,2
178,lambert,14
179,viviane,2
180,vincent,4
181,sanchez,19
182,obono,40
183,jaulges,4
184,dufresne,4
185,studer,5
186,adrien,28
187,lavayssiere,2
188,gayet,11
189,azergui,7
190,baldwin,2
191,kretinsky,4
192,schiappa,37
193,serge,25
194,metz,10
195,diallo,40
196,sautarel,69
197,may,76
198,wauquiez,15
199,zidane,2
200,beckham,2
201,multigner,3
202,farage,2
203,didier,9
204,bellamy,5
205,dioubate,5
206,harchaoui,2
207,sturgeon,8
208,bardella,26
209,alfonsi,4
210,simeoni,19
211,etienne,6
212,elhafiani,2
213,paludan,5
214,belmadi,2
215,daniel,12
216,pelletant,3
217,livolsi,2
218,destal,7
219,benguigui,2
220,ellis,8
221,ahmed,41
222,dardenne,4
223,balkis,9
224,obama,38
225,hammouti,2
226,ronald,9
227,pierrepont,6
228,zuckerberg,9
229,loutrel,2
230,abdallah,23
231,vidard,13
232,mathilde,2
233,aziz,29
234,toubon,9
235,schumacher,2
236,outryve,2
237,collomb,4
238,mustafa,2
239,mitterrand,27
240,fromet,38
241,cohnbendit,5
242,bertoncello,5
243,arnaud,22
244,lassimouillas,3
245,lecointre,6
246,picque,2
247,dedew,2
248,bukhari,5
249,kotarac,8
250,toure,28
251,abonneau,2
252,ferrari,12
253,reich,2
254,corbiere,11
255,martin,28
256,povlsen,2
257,haftar,7
258,robinson,2
259,nicolle,41
260,morano,39
261,tancrede,57
262,lachaud,8
263,loiseau,7
264,moudenc,2
265,diribarne,5
266,motherboard,2
267,apathie,4
268,aubry,34
269,notredame,17
270,violletleduc,2
271,attali,18
272,dubreuil,2
273,benalla,26
274,anakwe,4
275,tacite,30
276,averroes,8
277,moulinsbeaufort,3
278,lustiger,2
279,abascal,6
280,josefina,2
281,moadab,12
282,bockcote,10
283,france,38
284,margolin,2
285,lagarde,20
286,brossat,4
287,bompard,2
288,coquerel,14
289,bouteflika,10
290,vampouille,2
291,hausalter,5
292,valdiguie,3
293,feydeau,3
294,rykner,3
295,dorin,21
296,farha,15
297,blanquer,20
298,dupontaignan,32
299,boutoutaou,5
300,bolkiah,2
301,houellebecq,8
302,bastie,21
303,aladnani,2
304,mouminy,8
305,lespiaucq,2
306,normand,6
307,debuisson,9
308,berlusconi,2
309,lalouette,2
310,marchand,5
311,faidherbe,2
312,bugeaud,8
313,lamjarred,6
314,krampkarrenbauer,3
315,eschyle,3
316,besson,11
317,marechal,15
318,huret,9
319,ugeux,2
320,gericault,2
321,matisse,5
322,febvre,8
323,raffarin,2
324,simonnet,9
325,lemonnier,4
326,rutte,6
327,baudet,17
328,emelien,5
329,nabi,48
330,deck,13
331,belattar,10
332,erdogan,30
333,beltrame,2
334,traore,101
335,ramos,12
336,elena,10
337,nassim,5
338,alexandre,6
339,francois,19
340,grand,18
341,vaissie,2
342,benjamin,14
343,cindy,12
344,asselineau,4
345,leschi,15
346,legay,35
347,branaa,3
348,consigny,2
349,kalash,11
350,gioia,4
351,lafargue,5
