,Names,Values
0,darmanin,559
1,paty,982
2,estrosi,160
3,castex,57
4,macron,4968
5,fouche,50
6,sihamedi,5
7,erdogan,465
8,mediapart,2
9,marianne,255
10,boutin,1012
11,mahomet,198
12,darmagnac,22
13,conte,219
14,vardon,248
15,clair,131
16,sarkozy,243
17,ghali,135
18,derrar,55
19,hamlat,69
20,cherif,46
21,ramdane,62
22,ouane,118
23,chaliand,33
24,hassen,188
25,hodcroft,2
26,hirsch,29
27,covid,100
28,attal,264
29,toussaint,13
30,hollande,169
31,cohen,66
32,ikken,7
33,gallois,51
34,praud,148
35,piot,375
36,tikhanovskaia,18
37,washington,367
38,tagne,299
39,jong,208
40,balanant,3
41,martinez,43
42,nasrallah,17
43,pomart,23
44,blanquer,163
45,villiers,99
46,mamoun,140
47,dupuy,180
48,luca,125
49,drian,370
50,chergui,8
51,guterrez,25
52,ciotti,87
53,mohamad,41
54,noroozia,2
55,noroozile,2
56,aydalot,2
57,reuters,2
58,majid,134
59,tolstoi,4
60,philippe,528
61,blanc,70
62,sadouni,17
63,thomson,10
64,potier,108
65,masbah,9
66,morano,158
67,levy,274
68,lavrov,106
69,baufreton,25
70,maire,473
71,aliev,74
72,makinadjian,12
73,navalny,205
74,toubiana,2
75,maes,144
76,roures,61
77,perri,193
78,saada,81
79,oliveira,9
80,chalghoumi,26
81,trump,1049
82,biden,409
83,lafay,38
84,redwood,2
85,muselier,72
86,rhazoui,11
87,gorbatchev,14
88,hitler,89
89,branaa,21
90,larrive,61
91,anzorov,29
92,melenchon,702
93,lombardi,33
94,lehmann,20
95,posternak,2
96,chnina,16
97,ricard,153
98,agag,61
99,sefrioui,17
100,gaulle,191
101,pierucci,15
102,pompili,60
103,cripps,5
104,lopez,27
105,verrier,77
106,kadyrov,13
107,mirvari,6
108,guevorkian,2
109,hovhannes,7
110,lareman,2
111,pictwittercomvoktwqjkc,2
112,castaner,369
113,lenine,133
114,tolochko,8
115,loukachenko,53
116,heitz,71
117,sanchez,31
118,fritch,5
119,damboise,2
120,collard,163
121,trudeau,117
122,kierzek,5
123,pialoux,50
124,kamto,83
125,kumba,11
126,raoult,360
127,sebillelopez,14
128,lagasnerie,20
129,adama,125
130,louis,66
131,eribon,7
132,biasoni,40
133,gauchet,12
134,coffin,129
135,babeau,20
136,thabat,8
137,esper,15
138,pompeo,60
139,lamballe,42
140,fillol,98
141,autain,56
142,hammami,12
143,marieclaire,2
144,moussaoui,11
145,rioufol,8
146,generosites,2
147,retailleau,49
148,sintomer,22
149,pujadas,2
150,langlois,135
151,nunez,47
152,adnane,25
153,anwar,35
154,adib,181
155,kenyan,8
156,lefebvre,70
157,orphelin,10
158,soltanovski,4
159,melnikov,42
160,pachinian,26
161,squale,3
162,hidalgo,282
163,bik,349
164,barkhane,91
165,bazoum,66
166,amadou,6
167,casanova,29
168,artiom,4
169,schiappa,252
170,figaro,9
171,raufer,108
172,giuliani,6
173,giroud,31
174,mbappe,31
175,cymes,50
176,cagnat,40
177,jeenbekov,4
178,joron,142
179,dieudonne,44
180,macias,40
181,west,31
182,ligonnes,26
183,stabenrath,4
184,vinnik,127
185,fontanet,37
186,semenov,6
187,bertone,25
188,gueant,22
189,hortefeux,9
190,kadhafi,105
191,takieddine,16
192,senoussi,23
193,ouattara,174
194,tchicaya,11
195,bedie,86
196,nguessan,38
197,diallo,54
198,gazenbeek,2
199,chafik,13
200,zilah,191
201,huynh,27
202,mveran,27
203,thill,26
204,choucha,2
205,steinberg,8
206,robert,140
207,zemmour,937
208,naulleau,10
209,lebout,26
210,agopian,3
211,bloomberg,81
212,bezos,56
213,rochambeau,5
214,cisse,171
215,abba,34
216,dupondmoretti,68
217,delage,27
218,vieville,2
219,marechal,119
220,mellies,19
221,veil,74
222,dogolo,16
223,mcorbiere,64
224,roach,36
225,richesflores,5
226,rohani,43
227,azerbaidjanais,9
228,mounir,65
229,salvi,332
230,anastasia,10
231,zakharova,101
232,scarbonchi,12
233,haftar,478
234,flochprigent,13
235,montebourg,62
236,theo,18
237,luhaka,5
238,yatchevskaia,4
239,aufort,7
240,raissi,68
241,myoo,61
242,coulibaly,103
243,tebboune,128
244,amicangelo,6
245,neandertal,2
246,mourabitoune,2
247,grinbaum,5
248,bruno,150
249,geneste,6
250,annabelle,5
251,ypersele,2
252,rose,98
253,bouteldja,2
254,boutelja,2
255,bouillard,2
256,devedjian,14
257,safarova,5
258,artsakh,4
259,vincent,23
260,beaune,57
261,ducrocq,2
262,messiha,130
263,bezieux,19
264,vitaa,51
