,Names,Values
0,kabore,2
1,ouattara,3
2,macron,19
3,kebbab,6
4,shurkin,2
5,barkhane,17
6,lelievre,3
7,barriere,3
8,conrad,2
9,soulages,2
10,claudine,3
11,sarkozy,4
12,soral,16
13,hollande,9
14,poutine,4
15,jinping,2
16,valls,4
17,trump,12
18,erdogan,12
19,djerma,2
20,othman,2
21,fodio,2
22,ahmadou,4
23,omar,9
24,charlie,3
25,cabu,2
26,pelloux,3
27,marianne,5
28,charb,2
29,bigot,5
30,albaghdadi,2
31,kadhafi,18
32,washington,7
33,philippe,2
34,ibk,2
35,bathily,7
36,coulibaly,4
37,lassana,2
38,kacimi,21
39,foucher,6
40,gueant,3
41,capital,2
42,couriol,4
43,mitterrand,3
44,schaffhauser,2
45,dumas,2
46,cartier,2
47,lugan,4
48,alqaeda,2
49,bouhafs,5
50,michel,4
51,attali,2
52,keita,5
53,ministre,4
54,cisse,2
55,ghali,31
56,dicko,2
57,assa,7
58,traore,72
59,adama,8
60,alsaharaoui,2
61,koufa,4
62,droukdal,6
63,zemmour,3
64,kelly,3
65,dieudonne,2
66,colbert,2
67,floyd,4
68,ferguson,2
69,louvet,2
70,joly,2
71,louis,6
72,abdelmalek,2
73,brakni,6
74,bouteldja,3
75,flandrin,2
76,shekau,2
77,buhari,2
78,emie,6
79,lerner,2
80,beghal,5
81,lecointre,6
82,niang,3
83,huyghe,4
84,melenchon,3
85,hitler,8
86,kersten,4
87,cesars,2
88,dautry,2
89,francis,4
90,habib,11
91,ihuellou,4
92,fenech,4
93,clermonttonnerre,2
94,zuckerberg,5
95,moussa,2
96,wagner,8
97,maiga,4
98,thoen,2
99,berry,4
100,louange,2
101,mbeko,2
102,nuland,8
103,ryabkov,5
104,kozak,3
105,bannon,2
106,cameron,2
107,biden,3
108,reportnews,2
109,wyke,5
110,tissier,3
111,sinclair,7
112,fleck,6
113,ikeme,2
114,seldhar,2
115,angelis,2
116,behrami,2
117,draper,2
118,cattigan,4
119,shabazz,2
120,henderson,2
121,ayres,3
122,pasierbski,2
123,liveze,3
124,dimattina,2
125,taylor,3
126,terrafirma,2
127,sportolloni,2
128,richard,3
129,indoor,2
130,bardella,2
131,bensussan,3
132,monsieur,2
133,zagury,3
134,itno,7
135,agouna,2
136,deby,4
