,Names,Values
0,khomeiny,2
1,barkhane,643
2,koussey,2
3,tanwalbougou,2
4,ouattara,146
5,gbagbo,82
6,chengriha,5
7,ahmed,117
8,itno,18
9,ndayishimiye,11
10,deby,81
11,washington,175
12,kabila,52
13,dembele,6
14,drame,2
15,sebaie,2
16,tshisekedi,129
17,faidherbe,2
18,tebboun,26
19,tramadol,3
20,ibk,82
21,touadera,86
22,djotodia,5
23,dicko,75
24,barry,60
25,mukena,3
26,droukdel,2
27,guelleh,24
28,ali,120
29,pr,16
30,sidibe,5
31,biya,88
32,tchadien,9
33,akufoaddo,8
34,burton,8
35,guen,8
36,namaki,2
37,jahanpour,2
38,haftar,20
39,bechir,22
40,kadhafi,12
41,walton,48
42,hammer,21
43,diaw,57
44,ansarallah,10
45,macron,146
46,conde,109
47,moussa,2
48,kabore,42
49,kobine,4
50,layama,9
51,mekele,2
52,sales,42
53,biden,54
54,trump,54
55,bedie,12
56,soro,23
57,bongo,50
58,prophete,5
59,erdogan,2
60,opex,13
61,cisse,11
62,tshiekedikabila,2
63,wattao,4
64,compaore,11
65,vizy,6
66,mahoney,4
67,lecointre,10
68,miningou,4
69,doumbia,10
70,marechal,2
71,muharram,4
72,ngomo,4
73,poutine,25
74,pompeo,11
75,hamdok,4
76,nasrallah,6
77,koufa,33
78,asaf,6
79,camatte,2
80,nagy,40
81,megersa,2
82,keita,37
83,bgold,5
84,esper,7
85,wagner,85
86,pham,35
87,petronin,12
88,perenco,6
89,pigne,7
90,mohammad,6
91,issoufou,17
92,stockli,2
93,maryam,6
94,yungao,2
95,ndabirabe,2
96,camara,6
97,hankins,2
98,diallo,11
99,ouane,10
100,mnangagwa,7
101,mugabe,4
102,borrell,2
103,kenyan,2
104,kenyatta,2
105,moussaadamo,3
106,perrin,2
107,coulibaly,4
108,kafolo,9
109,fuchs,2
110,sanogo,4
111,grosverheyde,2
112,schauble,3
113,nkurunziza,7
114,lemoyne,5
115,kamto,15
116,buhari,9
117,cavusoglu,4
118,huberson,4
119,bourita,2
120,townsend,12
121,komayou,3
122,williams,3
123,boumzar,4
124,elqosi,2
125,morila,2
126,sinohydro,4
127,beko,4
128,saab,6
129,bozize,56
130,leclerc,2
131,burkhard,4
132,gleicher,2
133,prigojine,2
134,nkana,2
135,mwenz,2
136,guterres,8
137,vircoulon,4
138,abdelaziz,2
139,nguesso,10
140,gromyko,3
141,yehia,2
142,kahimbi,6
143,sassounguesso,2
144,soleimani,2
145,mandela,2
146,tshibala,6
147,netanyahu,6
148,maduro,2
149,kouranov,4
150,philippe,2
151,fayulu,2
152,toure,9
153,miski,5
154,armory,2
155,nette,4
156,abrams,2
157,eslami,2
158,sangare,37
159,chahed,4
160,bensalah,2
161,riabkov,2
162,sivillon,5
163,biche,8
164,brantex,4
165,larijani,2
166,toufik,4
167,mounkaila,2
168,addo,2
169,yesskoo,2
170,castaner,2
171,bemba,5
172,sonangol,4
173,issiaka,2
174,almamluk,2
175,juba,9
176,zodi,2
177,bouteflika,8
178,tartag,2
179,kagame,11
180,ilunga,7
181,mossis,2
182,zakzaky,9
183,zambien,2
184,nyusi,18
185,mumin,4
186,essakane,3
187,siewe,5
188,arafat,4
189,traore,2
190,mandy,5
191,maio,19
192,chang,8
193,zipline,3
194,assoumani,12
