,Names,Values
0,supreme,2
1,mara,154
2,kone,114
3,ouattara,66
4,tchicaya,5
5,macron,264
6,bedie,10
7,nguessan,18
8,ouane,38
9,barkhane,92
10,bazoum,18
11,amadou,2
12,mamoun,7
13,cisse,73
14,petronin,20
15,keita,122
16,dupuy,72
17,ibk,82
18,abba,7
19,sogadji,2
20,tebboune,40
21,chouiter,5
22,drian,38
23,ghaly,62
24,mourabitoune,2
25,zoubir,14
26,esper,10
27,porter,4
28,chergui,3
29,guterrez,9
30,noroozia,2
31,noroozile,2
32,aydalot,2
33,mahomet,10
34,paty,97
35,reuters,2
36,majid,16
37,tolstoi,2
38,erdogan,19
39,soro,22
40,tandian,3
41,kamto,28
42,biya,35
43,eboutou,14
44,dicko,32
45,guei,15
46,ahmed,4
47,cheick,2
48,ndadaye,12
49,buyoya,15
50,ntibantunganya,2
51,ndayishimiye,5
52,nkurunziza,5
53,toloba,3
54,lacaze,4
55,derrar,7
56,hamlat,3
57,cherif,14
58,ramdane,10
59,bezos,6
60,musk,6
61,tesla,2
62,cavusoglu,5
63,diallo,22
64,dalein,2
65,desfourneaux,15
66,ndaw,6
67,traore,44
68,prao,17
69,cedeao,17
70,tall,97
71,wade,18
72,senegalais,2
73,dieye,12
74,issoufou,18
75,kacimi,8
76,volpe,4
77,dufour,2
78,huberson,3
79,balareva,2
80,pereira,2
81,nouzille,3
82,dumas,2
83,hollande,10
84,toure,44
85,aouele,2
86,bictogo,4
87,donwahi,2
88,bigot,17
89,albert,8
90,coulibaly,23
91,nji,2
92,gadio,5
93,mushikiwabo,3
94,behanzin,2
95,assimi,11
96,sidahmed,15
97,diabate,16
98,gbagbo,29
99,kipre,3
100,gourevitch,12
101,poutine,18
102,soufi,51
103,ginolin,3
104,sanchez,2
105,sandaga,13
106,moreno,18
107,madougou,7
108,raponda,2
109,boukadoum,17
110,razafintsalama,2
111,beau,6
112,haftar,54
113,sarraj,4
114,gates,3
115,biden,11
116,irini,5
117,varvelli,2
118,yabi,38
119,center,7
120,soumare,4
121,diop,12
122,trudeau,12
123,coulon,8
124,fomba,2
125,timbine,2
126,dembele,7
127,magee,2
128,belanger,2
129,nikoi,2
130,tanwalbougou,2
131,zoundi,8
