	roch kabore	alassane ouattara	emmanuel macron	linda kebbab	michael shurkin	barkhane	lelievre	alain barriere	nick conrad	pierre soulages	claudine	macron	nicolas sarkozy	alain soral	francois hollande	vladimir poutine	xi jinping	manuel valls	donald trump	trump	erdogan	president	dan fodio	seku ahmadou	el hadj omar	pelloux	guillaume bigot	abou bakr albaghdadi	washington	edouard philippe	lassana bathily	amedy coulibaly	coulibaly	president de la republique	hacene kacimi	laurent foucher	claude gueant	noor capital	olivier couriol	mitterrand	foucher	jeanluc schaffhauser	roland dumas	raymond cartier	bernard lugan	alqaeda	taha bouhafs	charles michel	jacques attali	ibrahim boubacar keita	premier ministre	boubou cisse	iyad ag ghali	mahmoud dicko	arie alimi	adama traore	assa traore	adnane abou walid alsaharaoui	amadou koufa	abdelmalek droukdal	eric zemmour	george floyd	president trump	simon louvet	thomas joly	abdelmalek	youcef brakni	houria bouteldja	oussama atar	hippolyte flandrin	abubakar shekau	muhammadu buhari	nicolas lerner	djamel beghal	general lecointre	hamane niang	francoisbernard huyghe	jeanluc melenchon	cesars	gisele halimi	benjamin stora	vincent dautry	francis	meyer habib	kobili traore	anne ihuellou	georges fenech	hermine de clermonttonnerre	mark zuckerberg	ba ag moussa	choguel maiga	sebastien thoen	richard berry	pascale louange	alexandre kouchner	mouammar kadhafi	patrick mbeko	victoria nuland	m ryabkov	mme nuland	administratsiya prezidenta	steve bannon	david cameron	choguel kokalla maiga	reportnews	charlie wyke	matt le tissier	trevor sinclair	john fleck	m sinclair	carl ikeme	adham al seldhar	romina de angelis	lara gut behrami	dave draper	siobhan cattigan	fatimah shabazz	darvin henderson	tony ayres	pasierbski	kenny liveze	paul dimattina	leon taylor	terrafirma	cristian sportolloni	rene richard	cameron indoor	jordan bardella	paul bensussan	monsieur traore	daniel zagury	idriss deby itno	azem bermandoa agouna	mahamat idriss deby itno
roch kabore	0	3	3	3	3	38	17	3	3	3	5	20	4	3	3	3	3	3	3	1	0	5	2	2	2	0	2	2	2	2	2	4	0	2	4	2	2	2	2	3	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
alassane ouattara	3	0	5	3	3	38	17	3	3	3	5	20	4	3	3	3	3	3	3	1	0	5	2	2	2	0	2	2	2	2	2	4	0	2	4	2	2	2	2	3	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
emmanuel macron	3	5	0	3	3	69	30	3	3	3	9	30	6	3	7	4	3	3	4	2	0	8	2	3	3	0	5	3	5	3	2	5	0	6	6	2	2	2	2	4	2	2	2	2	5	2	3	2	2	2	3	2	7	2	2	11	0	2	2	3	2	6	0	2	2	3	4	3	5	2	2	2	0	2	5	3	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
linda kebbab	3	3	3	0	3	38	17	3	3	3	5	20	4	3	3	3	3	3	3	1	0	5	2	2	2	0	2	2	2	2	2	4	0	2	4	2	2	2	2	3	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
michael shurkin	3	3	3	3	0	40	17	3	3	3	5	20	4	3	3	3	3	3	3	1	0	5	2	2	2	0	2	2	2	2	2	4	0	2	4	2	2	2	2	3	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
barkhane	38	38	69	38	40	944	522	40	40	40	146	519	95	44	58	65	44	47	66	40	0	137	36	41	41	0	38	40	62	38	36	81	0	51	111	33	33	33	33	78	41	33	33	28	75	41	42	31	31	28	49	28	106	28	47	211	0	34	34	50	34	107	0	28	28	31	49	35	33	28	28	28	0	31	37	39	38	40	0	0	40	40	0	45	42	39	0	39	44	38	43	37	37	37	37	42	42	45	0	41	45	43	43	43	41	41	41	43	43	0	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	40	42	0	42	76	38	38
lelievre	17	17	30	17	17	522	280	19	19	19	93	274	43	17	22	24	17	17	27	30	0	72	16	17	17	0	17	17	24	17	16	37	0	23	68	16	16	16	16	37	24	16	16	19	47	24	26	19	19	22	29	22	64	20	25	116	0	25	25	32	25	71	0	23	23	19	26	19	19	19	19	19	0	19	21	21	24	24	0	0	30	30	0	25	25	21	0	21	21	21	21	24	24	24	24	21	21	21	0	23	21	21	21	21	23	23	23	25	25	0	23	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	23	25	0	25	46	23	23
alain barriere	3	3	3	3	3	40	19	0	5	5	5	20	4	3	3	3	3	3	3	1	0	5	2	2	2	0	2	2	2	2	2	4	0	2	4	2	2	2	2	3	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
nick conrad	3	3	3	3	3	40	19	5	0	5	5	20	4	3	3	3	3	3	3	1	0	5	2	2	2	0	2	2	2	2	2	4	0	2	4	2	2	2	2	3	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
pierre soulages	3	3	3	3	3	40	19	5	5	0	5	20	4	3	3	3	3	3	3	1	0	5	2	2	2	0	2	2	2	2	2	4	0	2	4	2	2	2	2	3	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
