,Personne,Date,Valeur
0,barkhane,2019-10-19,7
1,barkhane,2019-11-01,9
2,barkhane,2019-11-11,11
3,barkhane,2019-11-02,13
4,barkhane,2019-11-06,15
5,barkhane,2019-11-09,17
6,barkhane,2019-12-13,20
7,barkhane,2019-12-22,23
8,barkhane,2019-12-03,25
9,barkhane,2019-03-01,27
10,barkhane,2019-03-11,29
11,barkhane,2019-03-03,31
12,barkhane,2019-04-16,33
13,barkhane,2019-04-02,37
14,barkhane,2019-04-09,39
15,barkhane,2019-05-04,41
16,barkhane,2019-06-12,43
17,barkhane,2019-06-15,45
18,barkhane,2019-06-17,47
19,barkhane,2019-06-24,49
20,barkhane,2019-06-05,52
21,barkhane,2019-07-22,54
22,barkhane,2019-07-09,60
23,barkhane,2019-08-07,62
24,barkhane,2020-01-11,64
25,barkhane,2020-01-12,66
26,barkhane,2020-01-15,68
27,barkhane,2020-01-17,70
28,barkhane,2020-01-24,72
29,barkhane,2020-01-29,74
30,barkhane,2020-01-03,78
31,barkhane,2020-01-30,81
32,barkhane,2020-01-08,83
33,barkhane,2020-10-13,86
34,barkhane,2020-10-23,88
35,barkhane,2020-10-30,90
36,barkhane,2020-10-31,93
37,barkhane,2020-10-06,95
38,barkhane,2020-11-01,98
39,barkhane,2020-11-13,101
40,barkhane,2020-11-16,109
41,barkhane,2020-11-02,112
42,barkhane,2020-11-20,116
43,barkhane,2020-11-21,119
44,barkhane,2020-11-23,127
45,barkhane,2020-11-03,130
46,barkhane,2020-11-30,134
47,barkhane,2020-11-08,144
48,barkhane,2020-12-12,146
49,barkhane,2020-12-13,148
50,barkhane,2020-12-14,153
51,barkhane,2020-12-02,156
52,barkhane,2020-12-21,163
53,barkhane,2020-12-22,166
54,barkhane,2020-12-23,168
55,barkhane,2020-12-26,172
56,barkhane,2020-12-27,175
57,barkhane,2020-12-28,178
58,barkhane,2020-12-29,180
59,barkhane,2020-12-31,182
60,barkhane,2020-12-04,185
61,barkhane,2020-02-01,188
62,barkhane,2020-02-10,190
63,barkhane,2020-02-14,192
64,barkhane,2020-02-18,194
65,barkhane,2020-02-21,198
66,barkhane,2020-02-24,200
67,barkhane,2020-02-07,205
68,barkhane,2020-03-10,207
69,barkhane,2020-03-13,210
70,barkhane,2020-03-14,213
71,barkhane,2020-03-27,215
72,barkhane,2020-03-04,217
73,barkhane,2020-03-09,219
74,barkhane,2020-04-10,222
75,barkhane,2020-04-13,224
76,barkhane,2020-04-27,226
77,barkhane,2020-04-03,229
78,barkhane,2020-05-17,232
79,barkhane,2020-05-21,237
80,barkhane,2020-05-23,240
81,barkhane,2020-05-26,242
82,barkhane,2020-05-28,245
83,barkhane,2020-05-03,247
84,barkhane,2020-05-30,249
85,barkhane,2020-05-04,251
86,barkhane,2020-06-13,253
87,barkhane,2020-06-14,256
88,barkhane,2020-06-30,261
89,barkhane,2020-07-10,264
90,barkhane,2020-07-11,266
91,barkhane,2020-07-15,268
92,barkhane,2020-07-17,272
93,barkhane,2020-07-20,275
94,barkhane,2020-07-23,277
95,barkhane,2020-07-31,279
96,barkhane,2020-07-07,282
97,barkhane,2020-08-17,284
98,barkhane,2020-08-19,286
99,barkhane,2020-08-21,288
100,barkhane,2020-08-28,291
101,barkhane,2020-08-29,293
102,barkhane,2020-09-01,295
103,barkhane,2020-09-19,297
104,barkhane,2020-09-02,299
105,barkhane,2020-09-26,301
106,barkhane,2020-09-04,303
107,barkhane,2020-09-05,305
108,barkhane,2020-09-06,311
109,barkhane,2021-01-10,313
110,barkhane,2021-01-12,318
111,barkhane,2021-01-14,327
112,barkhane,2021-01-17,331
113,barkhane,2021-01-18,334
114,barkhane,2021-01-21,336
115,barkhane,2021-01-24,345
116,barkhane,2021-01-26,353
117,barkhane,2021-01-28,355
118,barkhane,2021-01-03,358
119,barkhane,2021-01-31,363
120,barkhane,2021-01-05,370
121,barkhane,2021-01-08,372
122,barkhane,2021-10-12,377
123,barkhane,2021-10-17,380
